Record_ID,Timestamp,Latitude,Longitude,Road_ID,Vehicle_Count,Avg_Speed(km/h),Vehicle_Type,Traffic_Density,Weather,Visibility(m),Road_Condition,Accident_Occurred,Accident_Severity,Alert_Generated,temperature,humidity
59,30-07-2018 02:25,9.851927888,94.92955778,RD-255,450,58,Bike,Low,Snow,3503,Wet,No,-,No,21.36,46.51
60,11-03-2023 21:44,33.11623371,69.77620266,RD-16,324,20,Truck,Low,Storm,5172,Slippery,No,-,No,29.76,68.35
61,08-12-2021 02:40,20.07100911,76.35146493,RD-196,393,88,Mixed,Low,Rain,7340,Under Maintenance,No,-,No,31.66,50.46
62,21-03-2023 17:25,33.46189896,84.32541943,RD-350,137,93,Bus,High,Clear,8294,Under Maintenance,No,-,No,28.14,89.86
63,22-03-2018 08:41,16.93996319,92.89558893,RD-219,150,108,Bus,Low,Fog,3898,Wet,No,-,No,44.86,45.81
64,02-08-2020 00:39,36.49721889,84.73372085,RD-89,297,28,Bike,Low,Clear,4074,Wet,No,-,Yes,30.7,46.75
65,25-04-2020 19:09,26.76443288,74.26729702,RD-182,479,84,Bus,Low,Storm,2711,Wet,No,-,No,28.43,85.84
66,27-09-2022 12:18,26.18562045,92.91196821,RD-110,79,119,Bus,Medium,Clear,3887,Dry,No,-,No,36.28,31.48
67,28-05-2022 12:49,31.3711981,85.28870121,RD-466,170,84,Truck,Very High,Snow,4459,Wet,No,-,Yes,24.23,71.8
68,14-10-2022 05:36,20.66099602,74.73806212,RD-96,458,29,Bus,Medium,Fog,6423,Wet,No,-,No,44.07,73.52
69,07-05-2023 00:46,15.50141933,84.2934633,RD-141,12,50,Bike,High,Rain,4600,Dry,No,-,No,22.24,80.18
70,19-12-2019 14:47,15.62497559,87.58367859,RD-144,398,59,Car,High,Snow,2572,Slippery,No,-,No,49.61,88.47
71,06-01-2022 16:25,17.58750877,87.7352962,RD-229,379,116,Bike,Low,Storm,8502,Dry,No,-,No,43.17,88.54
72,18-09-2021 03:30,25.9032264,88.99613366,RD-453,484,5,Bike,Very High,Fog,7899,Under Maintenance,No,-,No,25.96,33.92
73,08-11-2019 16:20,32.31330219,93.9764031,RD-77,21,54,Car,Medium,Storm,5741,Under Maintenance,Yes,Fatal,Yes,20.17,79.31
74,19-01-2018 22:29,22.48775847,91.91983943,RD-18,298,54,Truck,Very High,Storm,1095,Slippery,No,-,No,44.46,68.78
75,08-06-2019 13:52,19.69999868,85.62321305,RD-315,498,37,Mixed,High,Storm,3454,Dry,No,-,Yes,41.21,68.84
76,21-06-2018 20:48,31.02158442,68.93279676,RD-318,36,117,Mixed,High,Fog,9263,Slippery,No,-,No,41.87,37.7
77,11-10-2019 16:31,16.4003693,89.73614869,RD-316,378,75,Bike,Low,Snow,5138,Under Maintenance,No,-,No,43.14,69.01
78,18-11-2023 09:35,27.9820228,96.27382326,RD-126,390,106,Truck,Medium,Storm,8882,Dry,No,-,No,22.22,88.95
79,12-01-2019 12:36,11.0683514,76.86143201,RD-332,22,113,Truck,Medium,Rain,4984,Dry,No,-,Yes,30.75,84.71
80,22-02-2018 07:01,11.28390972,85.60005989,RD-152,375,96,Truck,Very High,Snow,1235,Under Maintenance,No,-,No,23.48,56.35
81,13-04-2020 20:43,26.67760883,90.29133166,RD-256,132,107,Truck,Very High,Storm,9755,Wet,No,-,No,45.89,32.4
82,21-03-2019 15:44,10.39976491,86.5335804,RD-211,212,32,Bike,High,Fog,3554,Slippery,No,-,No,38.7,51.74
83,14-10-2020 12:36,12.49648375,94.75391793,RD-452,263,36,Bus,Low,Storm,4448,Under Maintenance,No,-,No,29.93,79.58
84,02-10-2022 23:43,26.10670266,81.72685883,RD-282,212,92,Mixed,High,Storm,5753,Under Maintenance,No,-,No,21.91,72.09
85,19-10-2019 23:39,20.70790722,83.42355651,RD-246,173,12,Mixed,Very High,Clear,8745,Dry,No,-,No,29.33,57.56
86,17-06-2023 00:13,24.27759713,69.10905832,RD-32,370,48,Car,Low,Clear,2282,Dry,No,-,No,29.76,33.31
87,28-10-2023 23:46,36.33134447,94.10641805,RD-45,195,100,Bike,Very High,Snow,3773,Slippery,Yes,Minor,No,41.89,55.61
88,16-10-2021 21:59,26.3268701,75.60620154,RD-144,329,32,Mixed,Medium,Clear,379,Under Maintenance,No,-,No,39.13,58.14
89,06-05-2020 07:05,25.13467332,96.37421115,RD-197,443,116,Bike,Very High,Fog,7855,Under Maintenance,No,-,Yes,46.62,85.71
90,17-08-2020 12:18,19.02400436,73.8610845,RD-71,131,71,Bike,High,Clear,4111,Dry,Yes,Fatal,No,34.17,68.47
91,09-03-2018 08:53,26.29545025,75.35021467,RD-215,188,11,Truck,Low,Fog,3929,Under Maintenance,No,-,No,23.59,48.7
92,12-10-2023 11:13,8.376986245,82.05414339,RD-103,141,10,Car,Low,Storm,6461,Dry,No,-,No,41.4,61.52
93,05-03-2023 10:53,24.16228723,87.15450223,RD-330,309,97,Bike,Low,Snow,9111,Wet,No,-,No,42.82,33.96
94,20-02-2023 02:41,9.998023455,80.77927362,RD-453,27,49,Mixed,High,Clear,1178,Wet,No,-,Yes,36.84,88.35
95,14-01-2022 17:56,14.38499516,78.20267942,RD-409,27,18,Mixed,High,Clear,3350,Slippery,No,-,No,43.13,51.6
96,30-08-2021 15:20,24.33050906,83.66252235,RD-270,485,49,Car,High,Snow,7844,Slippery,No,-,No,34.81,58.67
97,18-12-2022 20:51,27.37056591,95.79065122,RD-128,15,63,Bike,Medium,Fog,1046,Under Maintenance,No,-,No,35.68,51.32
98,06-01-2019 14:37,19.15909967,95.89660789,RD-323,196,44,Truck,Low,Fog,7235,Under Maintenance,No,-,No,32.83,70.95
99,22-01-2022 08:31,20.15041756,77.51329887,RD-411,200,87,Car,Low,Clear,1496,Under Maintenance,No,-,No,20.76,69.73
100,23-03-2020 15:02,22.44264977,87.72460059,RD-279,52,50,Bike,Low,Fog,5846,Under Maintenance,No,-,No,23.24,72.92
101,04-11-2019 11:37,30.01316362,88.93545661,RD-407,259,63,Car,Low,Fog,367,Wet,No,-,No,20.94,46.09
102,16-02-2023 00:39,8.511205376,86.94909672,RD-10,206,93,Truck,Medium,Clear,274,Dry,No,-,Yes,39.09,48.94
103,21-07-2018 22:58,20.96497196,71.27729737,RD-196,212,41,Bus,Low,Clear,7626,Dry,No,-,No,29.43,37.52
104,07-04-2021 22:55,8.413934339,83.6447939,RD-401,462,86,Bus,Medium,Clear,3646,Under Maintenance,Yes,-,No,35.26,69.33
105,26-07-2021 19:40,17.25511396,90.13429662,RD-366,274,72,Bus,Very High,Rain,7101,Wet,No,-,No,47.23,32.39
106,26-08-2022 23:27,23.07561002,73.82347714,RD-184,416,69,Truck,High,Clear,7329,Under Maintenance,Yes,-,No,27.48,65.86
107,27-04-2022 14:05,10.31765923,78.09805608,RD-246,276,101,Truck,High,Rain,4352,Dry,No,-,No,32.31,82.18
108,25-01-2018 23:31,22.07119231,73.91021273,RD-279,198,32,Car,Low,Storm,6054,Slippery,No,-,No,42.67,83.45
109,25-03-2023 16:00,34.81264321,93.72092808,RD-401,344,45,Mixed,High,Fog,5705,Wet,No,-,No,26.86,56.94
110,06-01-2021 22:32,27.87492779,92.89741687,RD-249,482,87,Truck,Low,Rain,1640,Dry,No,-,No,22.31,57.56
111,23-06-2023 06:42,30.68532748,72.90689049,RD-177,282,101,Truck,Medium,Storm,5068,Dry,No,-,No,28.69,34.62
112,06-11-2022 19:15,24.83201233,90.05595681,RD-468,187,19,Bus,High,Fog,3708,Slippery,No,-,No,24.84,70.25
113,21-06-2018 05:35,33.99441042,78.55530597,RD-290,446,113,Bus,High,Fog,7362,Slippery,No,-,No,47.89,79.28
114,23-08-2023 04:20,12.25920947,87.89895853,RD-258,99,91,Bus,Medium,Fog,9478,Slippery,Yes,Fatal,No,44.24,44.68
115,10-11-2022 03:46,21.04379496,82.30767624,RD-165,279,97,Mixed,Medium,Snow,9471,Slippery,No,-,Yes,39,55.28
116,10-10-2022 17:43,25.3139638,81.6873891,RD-199,48,43,Bus,Very High,Snow,7087,Wet,No,-,No,46.14,80.33
117,09-10-2021 07:04,33.33078491,93.55725956,RD-139,129,82,Bus,Medium,Rain,5206,Under Maintenance,No,-,Yes,44.11,82.63
118,13-02-2020 07:23,16.93229712,86.4719637,RD-93,64,98,Mixed,Low,Rain,9092,Wet,No,-,No,25.6,44.59
119,22-06-2019 11:49,8.032711355,74.83727034,RD-14,249,70,Bus,Low,Fog,4563,Wet,No,-,No,46.78,63.03
120,17-08-2018 05:19,36.25800922,71.21200977,RD-164,274,81,Car,High,Storm,1112,Dry,No,-,No,36.18,41.55
121,09-10-2019 10:21,8.75334182,95.06879845,RD-306,200,108,Car,High,Rain,8017,Dry,No,-,No,44.22,36.11
122,07-12-2022 08:34,12.41863509,72.44819259,RD-113,292,32,Bike,Medium,Clear,9118,Dry,No,-,Yes,46.88,84.67
123,09-01-2021 14:42,20.23934355,89.28821769,RD-16,172,35,Car,Low,Clear,2523,Dry,No,-,No,29.54,79.23
124,07-08-2018 07:31,22.39472458,82.379636,RD-459,356,16,Mixed,Medium,Rain,2683,Dry,No,-,Yes,23.3,75.6
125,19-02-2019 01:17,32.19951277,72.0618961,RD-416,254,17,Bus,Medium,Storm,5811,Wet,Yes,Major,No,26.84,32.93
126,23-08-2021 11:06,20.98672055,90.52301262,RD-399,473,7,Bike,Low,Clear,6735,Slippery,No,-,Yes,32.81,80.62
127,17-01-2022 10:36,23.87544496,94.23005155,RD-144,325,67,Truck,High,Fog,4272,Under Maintenance,No,-,Yes,44.54,56.28
128,04-02-2018 19:31,13.79999625,71.52369162,RD-30,223,33,Truck,High,Fog,8606,Wet,No,-,No,45.82,50.54
129,14-04-2023 20:24,24.50560228,69.94557601,RD-415,295,119,Car,High,Snow,3900,Under Maintenance,No,-,No,20.21,62.79
130,21-03-2018 19:28,18.10312855,92.64564859,RD-242,99,68,Bike,High,Snow,2709,Under Maintenance,No,-,Yes,35.32,35.48
131,12-08-2018 02:30,10.86323616,82.52764973,RD-272,368,98,Truck,Very High,Snow,559,Slippery,No,-,No,32.52,75.4
132,10-07-2021 16:53,35.44742385,87.56152245,RD-184,389,80,Truck,Very High,Storm,4578,Under Maintenance,No,-,No,26.66,64.95
133,22-01-2020 18:18,10.36884428,80.80292978,RD-393,176,89,Truck,High,Fog,5810,Slippery,No,-,No,23.6,41.2
134,08-07-2020 19:47,27.65848898,79.96041944,RD-300,189,70,Car,Low,Storm,8686,Wet,No,-,No,30.13,41.29
135,14-09-2021 12:37,34.33760143,76.69011492,RD-120,490,54,Car,Low,Clear,4658,Slippery,No,-,No,48.29,41.05
136,02-09-2023 02:35,13.19693497,84.32491652,RD-499,113,84,Bike,Medium,Fog,1030,Slippery,No,-,No,29.7,33.42
137,11-12-2019 13:50,14.87641232,72.63442932,RD-82,67,100,Car,Very High,Snow,8883,Dry,No,-,No,35.56,65.27
138,26-01-2019 09:45,20.37449619,88.79969232,RD-52,330,96,Car,High,Snow,562,Dry,No,-,No,41.09,80.42
139,14-04-2020 12:28,16.54078908,83.93346273,RD-127,213,77,Mixed,High,Clear,2938,Slippery,No,-,No,30.91,31.05
140,18-11-2018 12:49,30.01196105,92.57810454,RD-337,135,21,Car,Low,Fog,279,Slippery,No,-,No,49.15,32.94
141,05-12-2022 04:33,17.80644789,94.70940921,RD-124,474,60,Bike,Medium,Storm,1464,Under Maintenance,No,-,No,48.87,64.37
142,30-11-2022 05:17,36.58923067,94.11701615,RD-137,354,118,Car,Low,Storm,4686,Under Maintenance,No,-,No,27.55,79.17
143,23-06-2019 15:54,32.90482974,85.43569652,RD-274,166,87,Car,Very High,Clear,7528,Slippery,No,-,No,34.92,49.6
144,29-05-2018 20:12,33.96497988,77.24329485,RD-418,451,11,Mixed,Low,Fog,9995,Under Maintenance,No,-,Yes,29.03,50.98
145,28-05-2023 07:01,9.846264273,78.35791959,RD-406,264,40,Bike,High,Storm,5962,Wet,No,-,Yes,28.55,65.78
146,27-11-2018 00:19,13.11294532,86.92354586,RD-470,435,44,Truck,Low,Snow,3056,Under Maintenance,No,-,No,21.11,46.45
147,28-04-2021 13:25,12.9116838,88.64704593,RD-378,37,5,Mixed,Low,Snow,2850,Under Maintenance,No,-,No,38.29,31.6
148,25-05-2018 21:46,27.4869748,72.67728052,RD-29,220,46,Car,High,Storm,8257,Slippery,No,-,No,35.08,74.11
149,08-07-2020 11:45,8.345429851,96.94053076,RD-392,498,40,Bus,Very High,Fog,7629,Under Maintenance,No,-,No,21.54,67.54
150,02-08-2021 16:27,31.3863598,71.11758987,RD-486,275,117,Mixed,Very High,Storm,2181,Slippery,No,-,No,28.36,64.85
151,05-11-2019 19:42,23.86433453,85.60567488,RD-113,276,43,Mixed,Very High,Clear,9725,Dry,No,-,Yes,47.25,74.5
152,30-01-2019 02:23,24.42307792,83.39968713,RD-295,467,5,Bike,Very High,Fog,9366,Under Maintenance,No,-,No,27.19,70.51
153,16-09-2019 16:31,23.58275624,85.13865716,RD-434,263,116,Truck,High,Storm,8288,Slippery,No,-,No,24.35,42.35
154,24-09-2023 12:37,23.5250308,83.47918104,RD-409,197,92,Truck,Very High,Snow,9058,Slippery,No,-,No,34.68,51.15
155,18-09-2018 12:49,13.73869616,69.67939356,RD-199,39,67,Truck,High,Fog,7347,Under Maintenance,No,-,No,49.57,37.57
156,13-05-2021 19:45,16.21221193,96.88183715,RD-182,314,78,Mixed,High,Rain,3028,Dry,No,-,No,27.26,37.79
157,09-04-2018 16:12,22.14090628,96.45703419,RD-479,464,79,Bus,Low,Fog,8091,Slippery,No,-,No,40.16,70.57
158,29-06-2018 23:52,27.65749043,83.20620645,RD-430,462,106,Bike,Low,Snow,2892,Slippery,No,-,No,42.85,81.52
159,27-03-2019 03:14,15.88665904,74.04211802,RD-433,197,90,Bus,High,Fog,3245,Under Maintenance,No,-,No,27.13,87.76
160,28-05-2023 01:25,31.37791282,73.30532059,RD-89,293,60,Truck,Low,Clear,8718,Wet,Yes,Minor,No,41.85,67.7
161,02-01-2022 04:52,31.50720187,69.65440743,RD-91,285,35,Mixed,Low,Snow,5889,Slippery,No,-,No,31.03,41.05
162,14-08-2018 10:13,15.94250281,85.7439097,RD-122,489,5,Truck,Medium,Snow,8332,Under Maintenance,No,-,Yes,38.97,36.34
163,05-09-2018 02:34,24.24187574,81.86885996,RD-304,196,45,Bus,Medium,Clear,6892,Under Maintenance,No,-,No,39.01,78.77
164,22-04-2022 20:17,18.11876278,80.07304173,RD-163,405,15,Truck,Medium,Rain,7076,Dry,No,-,No,36.07,64.73
165,24-02-2022 18:25,13.52988633,83.23118689,RD-413,142,10,Car,Very High,Fog,5553,Slippery,No,-,No,22.71,67.1
166,30-01-2022 14:41,31.37399872,93.31273488,RD-378,39,55,Bike,Low,Clear,4930,Slippery,No,-,No,45.06,76.89
167,11-02-2022 20:41,36.75295533,70.05084089,RD-358,170,68,Bus,Very High,Fog,1653,Slippery,No,-,No,29.62,72.2
168,10-04-2021 03:46,24.40585617,83.77858876,RD-184,147,113,Car,High,Fog,9142,Under Maintenance,No,-,No,25.6,80.07
169,24-02-2022 18:07,34.50445444,88.32948995,RD-468,432,85,Truck,Very High,Rain,7878,Slippery,No,-,No,21.22,33.37
170,15-02-2023 17:44,26.62289542,96.14997567,RD-303,356,82,Bike,Low,Fog,4369,Dry,No,-,No,37.73,74.85
171,20-10-2018 16:17,24.40598735,89.45107245,RD-15,341,100,Bike,Medium,Clear,9087,Dry,No,-,No,40.33,81.05
172,15-07-2022 19:01,21.92420152,83.89532175,RD-361,75,24,Bike,Very High,Fog,5169,Slippery,No,-,No,20.5,47.17
173,18-11-2018 12:35,14.83573403,90.23629293,RD-359,231,8,Mixed,Low,Fog,3893,Slippery,No,-,Yes,35.36,68.43
174,15-03-2023 09:45,10.44340287,96.91468859,RD-181,197,43,Bike,Medium,Rain,8230,Under Maintenance,No,-,Yes,26.79,48.85
175,21-09-2023 10:16,20.82774162,93.77329633,RD-486,434,51,Car,High,Fog,9643,Dry,No,-,No,39.36,87.48
176,27-10-2023 02:32,24.27798749,70.58379218,RD-291,462,26,Bus,High,Snow,7477,Wet,No,-,No,25.23,32.01
177,27-04-2021 05:51,22.77403997,84.67001056,RD-289,46,97,Car,High,Storm,9677,Slippery,No,-,No,40.73,64.79
178,07-08-2018 18:38,28.17154843,90.80775052,RD-73,215,46,Truck,Very High,Snow,3222,Slippery,No,-,No,31.6,39.99
179,16-01-2023 11:06,13.57086472,87.48438899,RD-289,380,105,Mixed,High,Rain,3359,Under Maintenance,No,-,No,48.1,72.73
180,27-03-2021 14:10,18.27188639,80.09206802,RD-486,483,81,Mixed,Very High,Fog,1232,Dry,No,-,No,24.13,40.55
181,12-12-2019 03:08,20.05145087,77.35088686,RD-97,379,83,Truck,Very High,Clear,4360,Slippery,No,-,No,30.23,44.12
182,15-05-2020 23:35,13.40917586,86.1831431,RD-429,401,39,Bus,Very High,Fog,5113,Under Maintenance,No,-,No,23.4,59.66
183,28-10-2022 13:42,34.2874622,79.95869305,RD-415,488,29,Mixed,Very High,Fog,6742,Slippery,Yes,Major,No,47.74,84.89
184,19-05-2018 15:38,27.76383226,79.36792843,RD-452,66,119,Truck,Medium,Rain,1025,Under Maintenance,Yes,Major,No,46.32,42.7
185,23-06-2023 18:59,10.66400804,92.26551297,RD-497,76,7,Truck,Medium,Fog,5014,Under Maintenance,No,-,Yes,27.74,38.65
186,13-11-2023 23:31,28.67114316,77.15400727,RD-253,37,55,Truck,Very High,Clear,1218,Under Maintenance,No,-,No,39.8,75.54
187,27-05-2018 10:28,23.88584057,86.70279417,RD-278,151,16,Truck,Medium,Clear,3598,Slippery,No,-,Yes,44.52,60.04
188,27-07-2021 20:30,23.19427354,93.3295697,RD-159,148,18,Bike,Low,Storm,6645,Slippery,No,-,No,36.66,84.71
189,25-05-2020 11:08,36.70378748,86.0313855,RD-90,422,44,Bus,Medium,Storm,546,Dry,No,-,Yes,35.89,38.8
190,06-05-2023 17:10,25.92782381,82.2908338,RD-252,241,36,Truck,High,Fog,1105,Slippery,Yes,Major,No,27.26,68.76
191,22-06-2019 12:43,34.0051176,69.02377842,RD-20,447,54,Bike,Very High,Clear,3879,Wet,No,-,Yes,22.79,43.97
192,12-06-2018 20:12,34.49291926,87.76560408,RD-47,469,72,Bike,Medium,Fog,6892,Dry,No,-,No,46.92,39.41
193,23-02-2021 21:18,10.94114032,96.92825479,RD-29,116,33,Car,Medium,Snow,6653,Under Maintenance,No,-,Yes,47.01,71.01
194,23-08-2020 23:56,8.242505435,91.44448605,RD-120,146,35,Truck,Very High,Rain,939,Dry,No,-,Yes,38.99,65.62
195,17-10-2023 01:29,20.62274037,86.3995194,RD-309,387,100,Bike,Very High,Rain,2197,Wet,No,-,No,30.17,75.29
196,19-05-2023 04:42,30.30926445,81.60519056,RD-113,173,28,Car,Low,Clear,9710,Wet,No,-,No,30.48,48.57
197,18-07-2019 23:56,31.9016827,74.50540172,RD-11,156,15,Car,Low,Snow,3831,Under Maintenance,No,-,No,41.78,56.88
198,25-07-2023 22:13,30.83732735,88.07116677,RD-270,400,34,Truck,Very High,Clear,2505,Slippery,No,-,No,46.91,54.33
199,20-10-2023 12:07,20.9713508,73.14175561,RD-245,282,117,Mixed,Very High,Snow,863,Wet,No,-,Yes,46.61,89.05
200,14-02-2023 22:59,29.74895944,93.72440507,RD-1,392,23,Bike,Low,Clear,9425,Slippery,No,-,Yes,43.4,47.53
201,23-02-2018 02:52,28.84451921,78.26566903,RD-170,313,40,Mixed,Low,Storm,6474,Under Maintenance,No,-,No,39.26,47.69
202,28-08-2022 14:30,17.10075828,79.59409587,RD-470,188,10,Car,Medium,Fog,4485,Slippery,No,-,No,22.52,51.27
